,URL in sitemap
0,https://www.allrecipes.com/recipe/9614/candied-christmas-cookies/
1,https://www.allrecipes.com/recipe/9802/monster-cookies-i/
2,https://www.allrecipes.com/recipe/9803/peanut-blossoms-iii/
3,https://www.allrecipes.com/recipe/9804/urban-legend-chocolate-chip-cookies/
4,https://www.allrecipes.com/recipe/9805/nice-spice-cookies/
5,https://www.allrecipes.com/recipe/9806/peanut-butter-kiss-cookies/
6,https://www.allrecipes.com/recipe/9807/raspberry-chocolate-supremes/
7,https://www.allrecipes.com/recipe/9808/caramel-pecan-cookies/
8,https://www.allrecipes.com/recipe/9809/rosettes-i/
9,https://www.allrecipes.com/recipe/9812/monster-cookies-iii/
10,https://www.allrecipes.com/recipe/9811/potato-chip-cookies-i/
11,https://www.allrecipes.com/recipe/9813/potato-chip-cookies-ii/
12,https://www.allrecipes.com/recipe/9814/sugar-free-rugelach/
13,https://www.allrecipes.com/recipe/9819/easy-chocolate-butterscotch-cookies/
14,https://www.allrecipes.com/recipe/9828/sugarless-cookies-ii/
15,https://www.allrecipes.com/recipe/9829/no-bake-peanut-butter-cookies-i/
16,https://www.allrecipes.com/recipe/9817/apricot-kolaches/
17,https://www.allrecipes.com/recipe/9816/anzac-biscuits-australian-coconut-oat-cookies/
18,https://www.allrecipes.com/recipe/9820/double-nut-chocolate-chip-cookies/
19,https://www.allrecipes.com/recipe/9810/monster-cookies-ii/
20,https://www.allrecipes.com/recipe/9815/cake-mix-cookies-i/
21,https://www.allrecipes.com/recipe/9821/white-chocolate-chunk-cookies/
22,https://www.allrecipes.com/recipe/9822/pfeffernusse/
23,https://www.allrecipes.com/recipe/9823/oatmeal-raisin-cookies-ii/
24,https://www.allrecipes.com/recipe/9824/one-and-a-half-minute-cookies/
25,https://www.allrecipes.com/recipe/9825/peanut-butter-shortbread-cookies/
26,https://www.allrecipes.com/recipe/9826/italian-cookies-i/
27,https://www.allrecipes.com/recipe/9841/applesauce-cocoa-cookies/
28,https://www.allrecipes.com/recipe/9827/chocolate-chocolate-chip-cookies-i/
29,https://www.allrecipes.com/recipe/9830/peanut-butter-chocolate-chip-cookies-from-heaven/
30,https://www.allrecipes.com/recipe/9831/lindas-awesome-brownies/
31,https://www.allrecipes.com/recipe/9832/no-bake-cookies-i/
32,https://www.allrecipes.com/recipe/9833/better-than-sex-cookies/
33,https://www.allrecipes.com/recipe/9834/light-and-chewy-cake-cookies/
34,https://www.allrecipes.com/recipe/9835/white-chocolate-macadamia-nut-cookies-i/
35,https://www.allrecipes.com/recipe/9836/speculaas/
